channel,count,percent
ntcong5,3315,0.0026427293055959694
huydao,3307,0.00263635167831248
fisc.vn,3290,0.0026227992203350647
landoanhr,3202,0.00255264532021668
hantuyentech,3150,0.002511190742873998
anhduc.masterlife,3144,0.002506407522411381
chiyeuthoichuadu,3125,0.0024912606576130932
coin68tv,3090,0.0024633585382478266
onhadocsach,3085,0.0024593725211956457
sieusaobongda09,3082,0.002456980910964337
metv.tiktok,3077,0.002452994893912156
sunhuynn,3032,0.0024171207404425276
ieltsmentor.vietnam,3027,0.0024131347233903467
huuthinhbs,2953,0.0023541416710180685
insidethebox.cchn,2941,0.0023445752300928343
1900.6996_,2922,0.002329428365294547
brands_untold,2919,0.0023270367550632383
nhungvahung,2887,0.00230152624592928
chinhchualon,2847,0.0022696381095118324
vtv24news,2838,0.002262463278817907
hoaquynh0000,2833,0.002258477261765726
bocphottaichinh,2824,0.0022513024310718
thongtruyentin,2766,0.002205064633266501
28perfume1,2748,0.00219071497187865
trumdidong.vn,2739,0.002183540141184724
ducreaction,2727,0.0021739737002594898
duyluandethuong,2722,0.002169987683207309
lamkhoinghiep,2677,0.0021341135297376804
sebt.ccs,2623,0.002091064545574126
tuquyenlifecoach,2621,0.0020894701387532536
minhminhhuongzai,2599,0.0020719316637236576
nkhanhm2605,2593,0.0020671484432610403
taiphen,2549,0.0020320714932018477
linhthaiofficial,2516,0.002005763780657454
behindthebeauty_zstudio,2512,0.002002574967015709
chanchuoi.com,2507,0.001998588949963528
realpewpew,2493,0.0019874281022174214
truyenthongkhangofficial,2480,0.001977064457881751
cudau8,2475,0.00197307844082957
risingvietnam.podcast,2470,0.001969092423777389
nhitho2000,2410,0.0019212602191512175
yoursupp.vn,2372,0.0018909664895546423
anphat.official,2369,0.0018885748793233338
dc.podcast,2359,0.001880602845218972
ggstravel.khamphanhatban,2355,0.0018774140315772272
linh.gb,2327,0.0018550923360850138
unofficiallykyky,2316,0.0018463230985702158
huetran_taydanang,2285,0.0018216097928466938
naiverosie,2256,0.0017984908939440443
zing.podcast,2255,0.001797693690533608
thanhhoctaichinh,2238,0.0017841412325561928
vietcetera_,2228,0.0017761691984518309
_celine_nguyen,2202,0.00175544190978049
vinhvatvofake,2200,0.0017538475029596177
saigonteu,2196,0.001750658689317873
haitrieucareer,2178,0.0017363090279300215
nguoilamphim69,2161,0.0017227565699526064
ngatpronlp,2139,0.00170521809492301
quankhonggo,2136,0.0017028264846917014
kieu06011993,2093,0.0016685467380429453
nguyenthu.official,2089,0.0016653579244012007
hoangreaction,2087,0.0016637635175803282
truongphuongne,2077,0.0016557914834759663
hongthuy68.78,2045,0.0016302809743420081
vn.joboko,2014,0.0016055676686184863
khatienganh,2005,0.0015983928379245606
vatvostudio,1975,0.001574476735611475
chill_with_dan,1953,0.0015569382605818787
hochoimoingaymoi,1948,0.0015529522435296977
hunghuynhdaotao,1937,0.0015441830060148997
ha_hips,1921,0.0015314277514479207
vantoi.calis,1912,0.001524252920753995
duocsythaophan,1900,0.0015146864798287606
luongngo.lifecoach,1886,0.0015035256320826541
spiderumcareerguide,1867,0.0014883787672843665
dr.ngomonghung,1834,0.0014620710547399722
chieu.tarotcorner,1816,0.0014477213933521207
find.forward,1814,0.0014461269865312485
codaolivestream,1792,0.0014285885115016522
meowamnhac,1776,0.0014158332569346732
bietduladuu,1768,0.0014094556296511836
theinfluencer.vn,1766,0.0014078612228303113
vybarnouin,1741,0.0013879311375694066
haiichieu,1716,0.0013680010523085017
gioiielts98,1709,0.0013624206284354485
civilis.duhochanquoc,1705,0.0013592318147937037
leo.cuong,1680,0.001339301729532799
baothoalifecoach,1650,0.0013153856272197133
chuyennghe_,1650,0.0013153856272197133
dotoearn,1634,0.0013026303726527341
chuyen_n,1618,0.0012898751180857552
iiiiphone,1580,0.00125958138848918
binh_storyteller,1577,0.0012571897782578715
nmc.act,1565,0.001247623337332637
datio89,1557,0.0012412457100491475
haluatsu,1550,0.0012356652861760943
coachingmaster,1546,0.0012324764725343495
nguyencanhluan,1543,0.001230084862303041
truesmart.vn,1542,0.0012292876588926047
catherineyenpham,1526,0.0012165324043256257
paulduongcanada,1518,0.001210154777042136
datphinguyen,1497,0.0011934135054229762
thedev_dad,1492,0.0011894274883707953
marketingthucchien,1489,0.0011870358781394866
chauchaukemtienganh,1476,0.0011766722338038163
the.tri.way,1451,0.0011567421485429114
sabrina.uyenluu,1449,0.001155147741722039
phieunoinhieu,1443,0.001150364521259422
nqs.kinhte,1441,0.0011487701144385495
a8hamhoc,1435,0.0011439868939759324
chualanhporn,1426,0.0011368120632820067
tinesomot,1422,0.0011336232496402619
chubandaugio,1414,0.0011272456223567725
tu_nguyen_it,1398,0.0011144903677897935
dieuhoalanggo,1376,0.0010969518927601972
cellphones.updatedoday,1370,0.0010921686722975802
ngulong.official,1370,0.0010921686722975802
mcworld_daotaokynangmem,1363,0.0010865882484245267
fpteduchill,1356,0.0010810078245514735
hien.thichhat,1354,0.001079413417730601
xuan_affiliate,1342,0.0010698469768053668
digistockvn,1320,0.0010523085017757705
nguyenque.lifecoach,1317,0.001049916891544462
innerspacevn,1316,0.001049119688134026
naniosaka,1310,0.0010443364676714086
snoop.pi,1280,0.001020420365358323
neyakowo,1272,0.0010140427380748334
longkhoahoc,1257,0.0010020846869182906
hieutheconsul,1239,0.0009877350255304393
bbgchannel,1235,0.0009845462118886945
roseway68,1219,0.0009717909573217154
thesimpleha,1215,0.0009686021436799706
coimodi,1214,0.0009678049402695345
petjoy_chamsocthucung,1199,0.0009558468891129917
duongduongpodcast,1197,0.0009542524822921193
dyhayho,1192,0.0009502664652399383
hatdecuoi75,1169,0.0009319307867999059
radiotamsu03,1158,0.0009231615492851079
wesleyn313,1152,0.0009183783288224907
