channel,count,percent
dsnhidong,1096,0.0009082034972463866
tkventuresvn,1096,0.0009082034972463866
thegeomedic,1083,0.0008974310105089752
love_and_maturity,1076,0.000891630440727292
hanhchiase.xaykenh,1073,0.0008891444822494278
pphicoach,1073,0.0008891444822494278
toiyeuvietnam1975,1049,0.0008692568144265143
hiubokho,1045,0.0008659422031226953
mitaminhtan,1010,0.0008369393542142796
ruto1009,1009,0.000836110701388325
kienkhongngu_official,1007,0.0008344533957364155
tamsuconggiao,1004,0.0008319674372585513
anhtuanle2304,977,0.0008095938109577735
apinvy,962,0.0007971640185684525
xangthuonghieu1,962,0.0007971640185684525
ami_wellness,952,0.0007888774903089052
nguyen2hoang2long,949,0.000786391531831041
hoangmanh8383,949,0.000786391531831041
nguyenphuonghuyen_tsh,946,0.0007839055733531768
hqbt_laodonghanquoc,937,0.0007764476979195842
duyyy.real.channel,934,0.00077396173944172
langhoa.workout,932,0.0007723044337898105
msngan.panda,932,0.0007723044337898105
dhcvietnam.com.vn,926,0.0007673325168340822
mixximuse0305,925,0.0007665038640081274
bahuy.henry,920,0.0007623605998783538
homeenglishvn,889,0.0007366723622737571
dongocthien_hip,888,0.0007358437094478023
hongtotheheart,888,0.0007358437094478023
trungthucedu,887,0.0007350150566218476
anratot102,880,0.0007292144868401645
trungluatsu,877,0.0007267285283623003
weshare.asia,877,0.0007267285283623003
lydapotato,867,0.000718442000102753
bamboocareers,866,0.0007176133472767982
mai_luong_tsh,865,0.0007167846944508434
tizidichlep.official,861,0.0007134700831470245
dangthuhaf,854,0.0007076695133653414
sangsang2x,852,0.000706012207713432
hocvientommy,850,0.0007043549020615225
linhmayy03,846,0.0007010402907577036
mountain_nguyen,818,0.0006778380116309711
auhomaiuyn,812,0.0006728660946752426
linhmayy2003,809,0.0006703801361973785
thanh.nv,805,0.0006670655248935595
phamnguyenanhtu38h1,802,0.0006645795664156954
cafetek,802,0.0006645795664156954
makebelieveshow,791,0.0006554643853301933
wingmanvn,763,0.0006322621062034608
cohathu.wegrow,733,0.0006074025214248188
g84lebichngoc,730,0.0006049165629469546
kenjinguyendinh,723,0.0005991159931652715
soncalltech,723,0.0005991159931652715
quyquy_2,716,0.0005933154233835884
the.innovators,710,0.00058834350642786
kobe.media79,704,0.0005833715894721315
gearvn.store,704,0.0005833715894721315
dr.hieuielts,702,0.0005817142838202221
thuyle2000,700,0.0005800569781683126
chiemthanhlich,695,0.000575913714038539
macyennhu,694,0.0005750850612125843
astromazing.com,683,0.0005659698801270822
vuongtuhoayogi,672,0.0005568546990415801
luatsux,671,0.0005560260462156254
trieuvandeptrai,661,0.0005477395179560781
adminkhaofficial,652,0.0005402816425224855
chungkhoannessi,650,0.0005386243368705761
vttm_official,646,0.000535309725566757
taotechvn,623,0.0005162507105697982
mcanhphuong,620,0.0005137647520919341
bobsgb,619,0.0005129360992659793
quang.tm,614,0.0005087928351362056
anthonyngofficial,596,0.0004938770842690205
duyennguyenkd,594,0.000492219778617111
bacsicaohuuthinh,594,0.000492219778617111
lantechvn,580,0.00048061863905374475
mixigaming,565,0.00046818884666442376
phuongcongnghe,558,0.00046238827688274063
quynhcuaneee,530,0.00043918599775600816
topcv,516,0.0004275848581926419
hungkhucc,503,0.00041681237145523036
lenkangoo,489,0.0004052112318918641
camvothuat,481,0.00039858200928422625
nawngs.official,455,0.00037703703580940323
caocuongvu,446,0.00036957916037581065
